hour_block,flow_rate
2025-09-11 00:00:00,102.72500000000001
2025-09-11 01:00:00,84.45
2025-09-11 02:00:00,92.8625
2025-09-11 03:00:00,102.63749999999999
2025-09-11 04:00:00,76.9125
2025-09-11 05:00:00,89.7875
2025-09-11 06:00:00,91.4
2025-09-11 07:00:00,104.675
2025-09-11 08:00:00,127.25999999999999
2025-09-11 09:00:00,165.99704347826088
2025-09-11 10:00:00,169.14264264264264
2025-09-11 11:00:00,434.0902402402402
2025-09-11 12:00:00,459.1200899550225
2025-09-11 13:00:00,565.0249190938512
2025-09-11 14:00:00,613.516501650165
2025-09-11 15:00:00,560.2053691275169
2025-09-11 16:00:00,453.5867132867133
2025-09-11 17:00:00,90.1375
2025-09-11 18:00:00,99.475
2025-09-11 19:00:00,91.28750000000001
2025-09-11 20:00:00,80.7625
2025-09-11 21:00:00,86.4875
2025-09-11 22:00:00,86.95
2025-09-11 23:00:00,99.05
2025-09-12 00:00:00,89.9375
2025-09-12 01:00:00,91.075
2025-09-12 02:00:00,96.0
2025-09-12 03:00:00,101.1
2025-09-12 04:00:00,96.2625
2025-09-12 05:00:00,76.1125
2025-09-12 06:00:00,80.9375
2025-09-12 07:00:00,85.55
2025-09-12 08:00:00,87.55
2025-09-12 09:00:00,92.45
2025-09-12 10:00:00,79.9125
2025-09-12 11:00:00,81.7625
2025-09-12 12:00:00,107.5
2025-09-12 13:00:00,91.1875
2025-09-12 14:00:00,72.0875
2025-09-12 15:00:00,77.3375
2025-09-12 16:00:00,98.6625
2025-09-12 17:00:00,89.3375
2025-09-12 18:00:00,79.35
2025-09-12 19:00:00,82.15
2025-09-12 20:00:00,116.63414634146342
2025-09-12 21:00:00,99.1875
2025-09-12 22:00:00,90.5125
2025-09-12 23:00:00,91.475
2025-09-13 00:00:00,93.45
2025-09-13 01:00:00,79.15
2025-09-13 02:00:00,71.3125
2025-09-13 03:00:00,92.3875
2025-09-13 04:00:00,86.9125
2025-09-13 05:00:00,85.4
2025-09-13 06:00:00,82.975
2025-09-13 07:00:00,104.625
2025-09-13 08:00:00,90.7
2025-09-13 09:00:00,102.2125
2025-09-13 10:00:00,79.5125
2025-09-13 11:00:00,79.95
2025-09-13 12:00:00,87.3125
2025-09-13 13:00:00,92.5
2025-09-13 14:00:00,98.65
2025-09-13 15:00:00,84.35
2025-09-13 16:00:00,84.8875
2025-09-13 17:00:00,90.1375
2025-09-13 18:00:00,98.175
2025-09-13 19:00:00,200.44477611940297
2025-09-13 20:00:00,102.5125
2025-09-13 21:00:00,93.75
2025-09-13 22:00:00,213.6991769547325
2025-09-13 23:00:00,220.39342004590665
2025-09-14 00:00:00,149.67460937500002
2025-09-15 09:00:00,100.0
2025-09-15 19:00:00,100.5
2025-09-25 12:00:00,211.40664451827243
2025-09-25 13:00:00,164.71490733279614
2025-09-25 14:00:00,270.70489763147333
2025-09-25 15:00:00,215.65349975526186
2025-09-25 16:00:00,118.0
2025-09-25 19:00:00,195.4
2025-09-25 20:00:00,198.19999999999996
2025-09-26 04:00:00,27.82857142857143
2025-09-26 05:00:00,107.75
2025-09-26 06:00:00,116.22
2025-09-26 07:00:00,79.6
2025-09-26 08:00:00,83.87142857142858
2025-09-26 09:00:00,85.95
2025-09-26 10:00:00,92.28333333333335
2025-09-26 11:00:00,103.25151515151515
2025-09-26 12:00:00,153.63333333333333
2025-09-26 13:00:00,170.625
2025-09-26 14:00:00,154.53333333333333
2025-09-26 15:00:00,179.3542857142857
2025-09-26 16:00:00,305.5926307448495
2025-09-26 17:00:00,232.77034109816972
2025-09-26 18:00:00,291.6609547123623
2025-09-26 19:00:00,358.2556930693069
2025-09-29 10:00:00,100.0
2025-09-30 23:00:00,155.43783783783783
2025-10-01 00:00:00,134.2699808795411
2025-10-01 09:00:00,173.486
2025-10-01 10:00:00,139.27838345864663
2025-10-01 11:00:00,81.81985401459853
2025-10-01 12:00:00,128.26988636363637
2025-10-01 16:00:00,120.66740442655934
2025-10-01 17:00:00,52.278169014084504
2025-10-05 23:00:00,117.59418386491556
2025-10-06 00:00:00,48.131832797427656
2025-10-06 08:00:00,197.58915662650605
2025-10-06 09:00:00,89.04805970149253
2025-10-06 10:00:00,137.2299825174825
2025-10-06 11:00:00,56.752131938857595
2025-10-06 12:00:00,48.85494411006019
2025-10-06 13:00:00,63.96441102756892
2025-10-06 14:00:00,176.73252595155708
2025-10-06 15:00:00,275.59188696444846
2025-10-06 16:00:00,462.58014440433215
2025-10-06 17:00:00,577.5480417754569
